total,SD,WM,not SD,not WM,timestep
,,,,,5
,,,,,10
947.8333333333334,660.0,693.0,980.1,943.8000000000001,15
697.5,197.27272727272728,214.6153846153846,749.1666666666666,837.0,20
596.4827586206897,212.04,279.0,444.3333333333333,386.3076923076923,25
410.66666666666663,168.0,189.0,295.44827586206895,304.5,30
307.56,143.3846153846154,116.5,172.2173913043478,220.73684210526315,35
315.7142857142857,157.85714285714286,157.85714285714286,130.0,130.0,40
313.5,139.33333333333331,156.75,225.07692307692307,227.99999999999997,45
265.3333333333333,76.53846153846155,91.84615384615385,278.59999999999997,238.79999999999998,50
