S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
476,24,0,111,105,0,0,0,0,0
476,24,0,111,105,0,0,0,0,1
476,24,0,111,105,0,0,0,0,2
470,30,0,111,105,0,0,0,0,3
464,36,0,111,105,0,0,0,0,4
463,37,0,115,107,0,7,0,5,5
452,48,0,116,109,0,11,0,8,6
440,60,0,119,112,0,15,0,10,7
428,72,0,121,114,0,17,1,11,8
420,80,0,124,117,0,20,2,12,9
411,88,0,126,119,1,23,2,14,10
397,101,0,128,121,1,24,3,19,11
389,109,0,129,124,0,29,3,25,12
379,117,0,132,129,2,37,2,28,13
371,125,0,139,137,0,44,3,32,14
363,112,21,136,136,0,37,3,26,15
351,124,21,139,143,0,41,7,32,16
343,127,26,138,143,0,41,6,34,17
333,131,32,139,143,0,42,6,35,18
321,142,33,139,143,0,42,8,39,19
310,141,44,137,139,1,43,7,38,20
300,138,56,139,138,1,45,4,37,21
294,131,68,138,137,1,46,3,35,22
290,127,75,136,137,1,46,3,38,23
284,124,83,136,138,1,45,4,38,24
279,116,96,137,137,0,44,4,37,25
268,119,104,138,137,0,44,4,37,26
264,114,113,142,140,0,46,5,31,27
262,108,120,141,141,1,48,2,30,28
256,105,128,139,139,1,47,1,31,29
252,97,140,141,140,0,46,1,29,30
248,93,148,138,136,0,43,1,27,31
245,87,157,136,133,0,37,2,27,32
240,80,169,136,133,0,37,3,20,33
238,71,180,131,128,0,29,4,17,34
233,67,189,128,124,0,26,3,19,35
230,63,195,125,121,1,23,2,19,36
228,61,199,124,122,0,21,3,22,37
227,56,205,121,121,0,21,2,21,38
224,55,209,122,123,0,22,3,18,39
221,47,220,121,121,0,19,2,15,40
219,44,224,118,118,1,18,1,16,41
215,46,226,118,118,0,16,2,15,42
210,46,231,118,118,0,16,2,12,43
210,42,235,117,118,0,14,3,13,44
209,39,239,118,119,0,15,3,10,45
206,38,242,118,117,1,15,2,10,46
204,35,247,118,114,0,13,2,11,47
204,33,249,118,112,0,12,1,13,48
202,30,254,114,109,0,8,1,13,49
199,30,257,116,111,0,11,1,10,50
