total,SD,not SD,R,timestep
18,15,3,0,0
18,15,3,0,1
19,16,3,0,2
19,16,3,0,3
20,16,4,0,4
22,17,5,0,5
24,17,7,0,6
24,18,6,0,7
25,19,6,0,8
28,20,8,0,9
30,21,9,0,10
30,21,9,0,11
30,21,9,0,12
33,24,9,0,13
34,24,10,0,14
23,12,11,17,15
23,14,9,18,16
26,15,11,18,17
28,16,12,19,18
28,17,11,21,19
26,16,10,23,20
32,19,13,23,21
33,19,14,24,22
33,20,13,27,23
38,25,13,29,24
41,27,14,29,25
44,30,14,29,26
43,27,16,32,27
44,28,16,33,28
40,24,16,39,29
39,24,15,40,30
39,26,13,42,31
36,24,12,45,32
33,23,10,47,33
33,24,9,48,34
28,21,7,53,35
25,20,5,55,36
23,18,5,57,37
18,13,5,62,38
17,11,6,65,39
12,6,6,69,40
11,6,5,70,41
9,5,4,72,42
7,4,3,74,43
7,4,3,74,44
5,3,2,76,45
4,2,2,77,46
3,2,1,78,47
2,1,1,79,48
2,1,1,79,49
2,1,1,79,50
2,1,1,79,51
2,1,1,79,52
0,0,0,81,53
