S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
1990,10,0,910,945,0,0,0,0,0
1990,10,0,910,945,0,0,0,0,1
1990,10,0,910,945,0,0,0,0,2
1988,12,0,910,945,0,0,0,0,3
1988,12,0,910,945,0,0,0,0,4
1984,16,0,910,946,0,1,0,1,5
1980,20,0,910,947,0,3,0,1,6
1972,28,0,912,948,0,6,0,4,7
1970,30,0,913,948,0,6,1,4,8
1964,36,0,913,949,0,6,2,6,9
1955,44,0,914,950,1,8,2,7,10
1938,61,0,914,951,0,8,3,8,11
1926,72,0,913,950,1,9,2,11,12
1910,88,0,917,956,0,16,2,13,13
1894,104,0,922,961,0,23,2,13,14
1873,117,8,920,962,0,20,3,14,15
1849,141,8,923,966,0,23,6,17,16
1830,158,10,927,972,0,34,7,24,17
1808,180,10,932,979,0,44,9,29,18
1792,189,14,931,978,3,47,6,29,19
1761,216,18,936,987,0,57,9,39,20
1737,232,26,943,992,0,66,12,42,21
1705,262,28,951,1001,0,72,16,51,22
1683,278,32,953,1004,2,75,19,58,23
1656,296,40,958,1007,1,78,24,63,24
1631,304,56,968,1015,1,86,30,58,25
1602,320,68,968,1016,1,95,32,57,26
1561,341,84,965,1019,4,105,23,66,27
1521,365,98,973,1022,2,110,26,76,28
1489,376,116,973,1022,3,108,25,74,29
1460,382,138,970,1028,1,115,27,72,30
1419,404,153,968,1030,4,120,27,80,31
1379,422,174,968,1038,1,121,31,86,32
1354,430,186,966,1037,5,126,32,101,33
1316,434,215,963,1040,5,127,28,101,34
1272,456,235,967,1044,2,134,32,107,35
1246,452,262,965,1043,3,143,29,110,36
1218,457,282,965,1045,3,147,32,111,37
1180,466,308,969,1045,3,146,40,107,38
1144,473,331,965,1047,6,148,38,115,39
1115,472,356,967,1046,5,161,36,115,40
1091,457,391,960,1035,4,152,37,111,41
1052,454,427,954,1029,6,154,32,102,42
1027,447,457,958,1033,2,156,36,106,43
1005,441,481,964,1034,4,157,35,113,44
983,425,516,954,1025,3,145,38,108,45
966,402,554,952,1025,2,143,38,101,46
949,388,577,947,1017,8,144,34,106,47
938,369,606,947,1014,1,142,39,99,48
925,334,648,937,1002,6,134,32,90,49
913,324,668,934,1005,2,133,32,85,50
901,307,694,931,1002,3,124,36,75,51
888,281,731,922,995,2,118,36,67,52
871,263,760,908,983,6,110,28,63,53
866,240,786,904,980,2,102,32,53,54
858,221,809,894,966,4,89,28,49,55
847,196,842,881,956,3,74,23,44,56
834,187,863,882,962,1,70,25,42,57
821,179,881,882,961,3,67,21,38,58
812,169,899,879,959,1,66,15,36,59
811,151,915,873,950,3,58,13,35,60
804,143,930,871,945,0,53,12,38,61
797,138,941,870,945,1,47,13,37,62
789,134,953,869,947,0,54,11,35,63
782,129,964,864,942,1,55,9,35,64
776,122,976,864,939,1,51,9,31,65
772,110,988,855,930,4,40,7,30,66
764,101,1003,853,926,2,35,7,27,67
763,98,1007,854,928,0,34,11,26,68
761,92,1013,853,928,2,37,11,24,69
754,88,1022,851,926,2,38,11,17,70
754,74,1034,848,923,2,32,9,17,71
753,64,1044,845,919,1,27,11,14,72
750,57,1052,843,916,2,18,13,13,73
749,55,1053,843,913,2,19,12,14,74
746,51,1058,840,911,2,17,10,13,75
744,47,1064,839,912,0,17,9,12,76
742,41,1070,835,909,2,14,6,10,77
737,40,1076,835,908,0,12,5,9,78
736,39,1078,835,909,0,13,5,9,79
734,36,1082,834,909,1,12,5,7,80
732,31,1089,834,910,0,8,6,6,81
731,31,1090,834,910,0,11,6,6,82
730,29,1092,832,909,1,10,5,5,83
727,26,1096,831,908,2,9,5,3,84
726,27,1096,832,909,0,10,5,3,85
724,25,1097,831,907,3,12,3,3,86
721,26,1099,830,905,0,11,2,3,87
720,26,1100,830,905,0,12,1,4,88
718,26,1102,832,905,0,13,1,3,89
718,25,1103,833,906,0,14,1,3,90
717,24,1105,832,906,0,14,1,3,91
716,21,1109,829,904,0,10,1,4,92
716,20,1110,828,903,0,9,2,5,93
715,18,1112,828,903,1,9,1,4,94
715,16,1114,827,903,0,7,2,4,95
715,15,1115,827,903,0,6,2,5,96
715,14,1116,827,904,0,6,2,5,97
714,12,1119,827,904,0,4,2,4,98
714,11,1120,826,904,0,3,2,4,99
714,10,1121,827,905,0,4,2,3,100
714,7,1124,827,904,0,3,2,1,101
714,6,1125,826,903,0,2,2,1,102
714,4,1126,825,902,1,2,0,2,103
714,4,1126,825,902,0,2,0,2,104
714,3,1127,825,902,0,2,0,1,105
714,2,1128,824,901,0,1,0,1,106
714,2,1128,824,901,0,1,0,1,107
714,1,1129,823,900,0,0,0,1,108
714,1,1129,823,900,0,0,0,1,109
714,1,1129,823,900,0,0,0,1,110
714,1,1129,823,900,0,0,0,1,111
714,0,1130,823,900,0,0,0,0,112
