total,SD,WM,not SD,not WM,both,neither,timestep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3544.2000000000003,2625.333333333333,1406.4285714285716,984.5,7876.0,1575.2,0.0,15
3916.0,979.0,1958.0,4895.0,5874.0,979.0,5874.0,20
3884.0,2913.0,2589.333333333333,4855.0,5826.0,2718.7999999999997,7768.0,25
4600.8,1150.2,1437.75,4313.25,11502.0,1150.2,11502.0,30
7908.333333333334,1518.4,1355.7142857142858,7971.6,12653.333333333334,1518.4,12653.333333333334,35
3562.5,1875.0,2142.8571428571427,3000.0,2812.5,1666.6666666666665,12500.0,40
3730.0,1282.1875,1243.3333333333333,4529.285714285714,5968.0,1282.1875,5968.0,45
2591.3999999999996,925.5,996.6923076923076,2313.75,4319.0,925.5,4319.0,50
4122.0,785.1428571428571,754.3529411764706,3664.0,6717.333333333333,785.1428571428571,6717.333333333333,55
6345.5,1359.75,1208.6666666666665,7252.0,14504.0,1359.75,14504.0,60
3143.0,1282.857142857143,1105.2307692307693,2309.1428571428573,10776.0,1282.857142857143,10776.0,65
3372.5,1228.8461538461538,1267.857142857143,4437.5,5325.0,1331.25,7987.5,70
3168.0,1466.6666666666667,1320.0,2542.222222222222,5280.0,1466.6666666666667,5280.0,75
5262.0,1754.0,877.0,1754.0,3508.0,1403.2,3508.0,80
2374.090909090909,1243.5714285714287,1331.3529411764705,1450.8333333333335,1160.6666666666665,1305.75,1741.0,85
4034.3333333333335,741.0,960.5555555555555,3803.8,5187.0,576.3333333333333,6916.0,90
5736.666666666667,245.85714285714283,245.85714285714283,7744.5,7744.5,245.85714285714283,7744.5,95
2688.714285714286,2091.222222222222,1283.25,0.0,4277.5,1466.5714285714284,7699.5,100
3402.0,0.0,567.0,2551.5,3402.0,0.0,6804.0,105
4642.0,0.0,675.2,3094.6666666666665,5064.0,0.0,5064.0,110
6712.0,629.25,1006.8,4195.0,1678.0,1258.5,8390.0,115
7249.666666666666,1195.0,1195.0,6692.0,6692.0,1394.1666666666667,13384.0,120
2857.714285714286,740.8888888888888,1060.8181818181818,4445.333333333333,8335.0,740.8888888888888,8335.0,125
3318.0,995.4,1422.0,2488.5,8295.0,995.4,8295.0,130
3310.0,2758.3333333333335,1986.0,827.5,8275.0,2758.3333333333335,8275.0,135
1652.0,550.6666666666666,550.6666666666666,826.0,8260.0,550.6666666666666,8260.0,140
3845.3333333333335,549.3333333333333,1098.6666666666665,2307.2,4120.0,549.3333333333333,4120.0,145
4115.0,548.6666666666666,548.6666666666666,6584.0,6584.0,548.6666666666666,6584.0,150
2467.5,987.0,411.25,6580.0,3290.0,411.25,6580.0,155
1643.0,1643.0,410.75,6572.0,1643.0,410.75,6572.0,160
1643.0,1643.0,0.0,0.0,1643.0,410.75,6572.0,165
1643.0,0.0,0.0,0.0,0.0,0.0,6572.0,170
