S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
1992,8,0,1379,1304,0,0,0,0,0
1992,8,0,1379,1304,0,0,0,0,1
1992,8,0,1379,1304,0,0,0,0,2
1992,8,0,1379,1304,0,0,0,0,3
1991,9,0,1379,1304,0,0,0,0,4
1989,11,0,1380,1305,0,3,0,2,5
1988,12,0,1380,1305,0,3,0,4,6
1987,13,0,1380,1305,0,4,0,4,7
1986,14,0,1380,1305,0,4,0,4,8
1984,16,0,1380,1305,0,4,0,4,9
1981,19,0,1381,1307,0,8,0,4,10
1978,22,0,1381,1307,0,8,0,4,11
1976,24,0,1382,1308,0,8,1,4,12
1975,25,0,1384,1309,0,9,2,4,13
1970,30,0,1384,1309,0,10,2,4,14
1969,23,8,1383,1309,0,8,2,1,15
1967,25,8,1384,1310,0,9,2,1,16
1962,30,8,1384,1311,0,12,2,1,17
1961,30,9,1385,1313,0,12,4,2,18
1958,31,11,1385,1312,0,13,3,4,19
1958,30,12,1384,1311,0,11,4,4,20
1955,31,13,1383,1311,1,11,3,4,21
1955,29,14,1381,1309,1,12,2,6,22
1950,32,15,1379,1308,1,11,1,9,23
1946,33,18,1378,1307,0,10,0,9,24
1942,35,20,1378,1307,0,11,0,9,25
1938,37,22,1378,1306,0,9,1,9,26
1928,46,23,1377,1306,0,10,1,9,27
1923,46,27,1375,1304,1,6,2,8,28
1921,47,28,1377,1305,0,11,3,8,29
1917,50,29,1378,1307,0,12,3,9,30
1913,49,34,1382,1313,0,18,4,5,31
1910,50,35,1382,1313,1,22,4,7,32
1905,53,36,1381,1313,1,21,5,7,33
1900,58,36,1382,1316,0,21,7,7,34
1898,57,39,1382,1316,0,20,7,10,35
1895,59,39,1382,1315,1,22,6,12,36
1889,60,44,1381,1314,0,21,5,12,37
1885,59,48,1378,1313,1,24,3,13,38
1881,59,52,1377,1311,0,21,3,14,39
1875,62,55,1377,1312,0,23,3,14,40
1874,53,65,1376,1308,0,16,3,13,41
1872,51,69,1377,1307,0,16,3,11,42
1869,52,71,1377,1308,0,17,4,13,43
1867,48,75,1375,1308,2,20,2,12,44
1865,47,78,1375,1311,0,22,2,12,45
1864,43,81,1373,1308,2,22,1,11,46
1861,42,85,1373,1308,0,22,1,8,47
1858,41,89,1373,1307,0,21,1,9,48
1854,43,91,1372,1306,0,18,2,9,49
1851,43,94,1373,1306,0,17,2,10,50
1848,41,99,1373,1305,0,14,1,9,51
1843,42,103,1373,1304,0,14,1,9,52
1840,41,107,1372,1301,0,12,1,9,53
1839,36,113,1373,1299,0,9,2,10,54
1832,42,114,1373,1299,0,9,2,11,55
1829,43,116,1374,1300,0,11,1,13,56
1824,45,119,1375,1303,0,13,2,12,57
1816,51,121,1374,1302,0,13,3,11,58
1813,51,123,1374,1305,1,17,2,11,59
1813,50,124,1376,1307,0,18,3,11,60
1809,51,127,1376,1307,0,18,3,11,61
1807,50,130,1378,1309,0,20,3,12,62
