S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
1994,6,0,1788,1765,0,0,0,0,0
1994,6,0,1788,1765,0,0,0,0,1
1994,6,0,1788,1765,0,0,0,0,2
1994,6,0,1788,1765,0,0,0,0,3
1994,6,0,1788,1765,0,0,0,0,4
1993,7,0,1788,1765,0,0,0,1,5
1993,7,0,1788,1765,0,2,0,1,6
1992,8,0,1788,1765,0,4,0,2,7
1992,8,0,1788,1765,0,4,0,2,8
1991,9,0,1788,1765,0,3,1,2,9
1991,9,0,1788,1765,0,2,2,3,10
1990,10,0,1788,1765,0,2,2,3,11
1988,12,0,1788,1765,0,2,2,3,12
1987,11,0,1786,1763,2,2,0,4,13
1987,11,0,1786,1763,0,2,0,5,14
1986,8,4,1786,1763,0,0,0,4,15
1984,10,4,1786,1763,0,0,0,5,16
1984,10,4,1786,1763,0,0,0,5,17
1983,11,4,1786,1763,0,1,0,5,18
1982,11,5,1786,1763,0,2,0,4,19
1981,12,5,1786,1763,0,1,1,5,20
1980,12,6,1786,1763,0,1,1,6,21
1980,12,6,1786,1764,0,0,2,7,22
1980,10,7,1785,1763,1,0,1,6,23
1980,10,7,1785,1763,0,1,1,6,24
1980,9,8,1785,1763,0,2,1,5,25
1980,8,9,1785,1763,0,2,1,4,26
1980,7,10,1785,1762,0,2,0,5,27
1980,7,10,1785,1762,0,1,1,5,28
1980,6,11,1785,1762,0,1,1,4,29
1980,4,13,1785,1762,0,1,1,2,30
1980,4,13,1785,1762,0,1,1,2,31
1980,3,14,1785,1762,0,1,1,1,32
1980,2,15,1785,1762,0,0,1,1,33
1980,1,16,1785,1762,0,0,0,1,34
1980,0,17,1785,1762,0,0,0,0,35
